datetime,site_uid,temp_water,nitrate_con,diss_oxy_con,diss_oxy_sat,ph,spec_cond,discharge,stage
2012-05-25 05:00:00+00:00,USGS-05418400,21.8,5.57,,,,,304.0,3.28
2012-05-25 05:15:00+00:00,USGS-05418400,21.7,5.56,,,,,304.0,3.28
2012-05-25 05:30:00+00:00,USGS-05418400,21.5,5.56,,,,,304.0,3.28
2012-05-25 05:45:00+00:00,USGS-05418400,21.4,5.56,,,,,304.0,3.28
2012-05-25 06:00:00+00:00,USGS-05418400,21.3,5.56,,,,,304.0,3.28
2012-05-25 06:15:00+00:00,USGS-05418400,21.2,5.56,,,,,304.0,3.28
2012-05-25 06:30:00+00:00,USGS-05418400,21.0,5.56,,,,,304.0,3.28
2012-05-25 06:45:00+00:00,USGS-05418400,20.9,5.56,,,,,304.0,3.28
2012-05-25 07:00:00+00:00,USGS-05418400,20.8,5.56,,,,,304.0,3.28
2012-05-25 07:15:00+00:00,USGS-05418400,20.7,5.56,,,,,304.0,3.28
2012-05-25 07:30:00+00:00,USGS-05418400,20.6,5.55,,,,,302.0,3.27
2012-05-25 07:45:00+00:00,USGS-05418400,20.5,5.55,,,,,302.0,3.27
2012-05-25 08:00:00+00:00,USGS-05418400,20.4,5.55,,,,,302.0,3.27
2012-05-25 08:15:00+00:00,USGS-05418400,20.3,5.55,,,,,302.0,3.27
2012-05-25 08:30:00+00:00,USGS-05418400,20.2,5.55,,,,,302.0,3.27
2012-05-25 08:45:00+00:00,USGS-05418400,20.1,5.55,,,,,302.0,3.27
2012-05-25 09:00:00+00:00,USGS-05418400,20.0,5.55,,,,,302.0,3.27
2012-05-25 09:15:00+00:00,USGS-05418400,19.9,5.55,,,,,300.0,3.26
2012-05-25 09:30:00+00:00,USGS-05418400,19.8,5.55,,,,,302.0,3.27
2012-05-25 09:45:00+00:00,USGS-05418400,19.7,5.55,,,,,302.0,3.27
2012-05-25 10:00:00+00:00,USGS-05418400,19.6,5.55,,,,,302.0,3.27
2012-05-25 10:15:00+00:00,USGS-05418400,19.5,5.55,,,,,302.0,3.27
2012-05-25 10:30:00+00:00,USGS-05418400,19.4,5.55,,,,,302.0,3.27
2012-05-25 10:45:00+00:00,USGS-05418400,19.3,5.55,,,,,302.0,3.27
2012-05-25 11:00:00+00:00,USGS-05418400,19.2,5.56,,,,,302.0,3.27
2012-05-25 11:15:00+00:00,USGS-05418400,19.2,5.56,,,,,302.0,3.27
2012-05-25 11:30:00+00:00,USGS-05418400,19.1,5.56,,,,,302.0,3.27
2012-05-25 11:45:00+00:00,USGS-05418400,19.1,5.57,,,,,302.0,3.27
2012-05-25 12:00:00+00:00,USGS-05418400,19.0,5.57,,,,,302.0,3.27
