FIPS,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,Population_2020,RUCC_2023,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
25015,1365533874,46625893,15.8,5.67,162308,3.0,1365.533874,46.625893,215.754352092,77.4257706558
21003,890240991,21079866,61.8,23.43,20588,3.0,890.240991,21.079866,550.168932438,208.5834641913
37001,1096736064,27940533,25.4,9.51,171415,3.0,1096.736064,27.940533,278.570960256,104.2995996864
20073,2961143636,24145021,92.2,22.18,6016,8.0,2961.143636,24.145021,2730.1744323919997,656.7816584648
25025,150875412,160499085,0.5,0.37,797936,1.0,150.875412,160.499085,0.75437706,0.5582390244000001
16051,2832619466,31166194,37.5,26.03,30891,3.0,2832.619466,31.166194,1062.23229975,737.3308469998001
48177,2762704862,8204086,92.4,9.54,19653,6.0,2762.704862,8.204086,2552.739292488,263.56204383479997
47115,1290472798,36484703,19.5,9.07,28837,2.0,1290.472798,36.484703,251.64219561000002,117.0458827786
26007,1481205164,2908633230,16.1,10.76,28907,7.0,1481.205164,2908.63323,238.47403140400002,159.37767564639998
21231,1186326542,67647953,38.9,13.12,19555,7.0,1186.326542,67.647953,461.481024838,155.6460423104
47185,975592109,7113368,44.4,18.7,27351,7.0,975.592109,7.113368,433.162896396,182.435724383
48147,2307251053,20847065,73.2,28.75,35662,6.0,2307.251053,20.847065,1688.907770796,663.3346777375
20043,1019105691,12424174,61.3,50.11,7510,3.0,1019.105691,12.424174,624.7117885829999,510.67386176009995
48265,2857617602,10231764,55.3,2.06,52598,4.0,2857.617602,10.231764,1580.2625339059998,58.866922601199995
12053,1224983072,627920761,22.2,7.9,194515,1.0,1224.983072,627.920761,271.946241984,96.773662688
12129,1570615734,804111188,,0.92,33764,2.0,1570.615734,804.111188,,14.449664752799999
12131,2689179222,961275980,13.7,3.98,75305,2.0,2689.179222,961.27598,368.417553414,107.02933303560002
28017,1299608408,6380767,50.9,27.88,17106,9.0,1299.608408,6.380767,661.5006796719999,362.3308241504
26035,1461703750,28496979,12.9,6.68,30856,8.0,1461.70375,28.496979,188.55978374999998,97.64181049999999
20157,1857998454,7951912,68.6,47.99,4674,9.0,1857.998454,7.951912,1274.5869394439999,891.6534580746
12127,2851876607,858119458,13.6,2.52,553543,2.0,2851.876607,858.119458,387.855218552,71.8672904964
40017,2322112748,23146754,72.3,36.55,154405,1.0,2322.112748,23.146754,1678.887516804,848.7322093939999
13115,1320431515,22387093,22.6,6.58,98584,3.0,1320.431515,22.387093,298.41752239,86.884393687
32001,12820847808,190742991,5.4,1.23,25516,6.0,12820.847808,190.742991,692.325781632,157.6964280384
31181,1489017943,337241,88.2,60.37,3395,9.0,1489.017943,0.337241,1313.313825726,898.9201321891
17067,2055798714,53563360,82.1,66.65,17620,9.0,2055.798714,53.56336,1687.8107441939999,1370.189842881
46067,2105694664,3644220,95.1,80.04,7427,8.0,2105.694664,3.64422,2002.515625464,1685.3980090656003
41013,7715390857,21004473,43.7,3.08,24738,3.0,7715.390857,21.004473,3371.6258045090003,237.6340383956
50011,1634178627,150732873,44.9,19.19,49946,3.0,1634.178627,150.732873,733.746203523,313.59887852130004
26103,4685420990,4185337774,3.0,0.66,66017,5.0,4685.42099,4185.337774,140.5626297,30.923778533999997
37057,1432729886,37602681,20.8,9.23,168930,2.0,1432.729886,37.602681,298.007816288,132.2409684778
17025,1213023041,3064499,75.9,62.41,13288,9.0,1213.023041,3.064499,920.684488119,757.0476798881
29103,1305380281,7303439,69.7,48.52,3744,9.0,1305.380281,7.303439,909.8500558569999,633.3705123412
29117,1378657549,16187907,84.2,61.35,14557,7.0,1378.657549,16.187907,1160.829656258,845.8064063115
42117,2936765816,8279717,28.2,15.75,41045,8.0,2936.765816,8.279717,828.167960112,462.54061602
31043,684472101,8143819,99.3,91.0,21582,3.0,684.472101,8.143819,679.6807962929998,622.86961191
26089,899241892,5659105321,25.7,13.53,22301,3.0,899.241892,5659.105321,231.105166244,121.6674279876
51181,722475752,81216905,25.9,15.87,6561,1.0,722.475752,81.216905,187.121219768,114.6569018424
48391,1995545557,123688759,74.9,15.0,6741,8.0,1995.545557,123.688759,1494.663622193,299.33183355
39017,1208290721,9175912,31.2,21.99,390357,1.0,1208.290721,9.175912,376.986704952,265.7031295479
13273,869695791,4951325,78.7,46.79,9185,3.0,869.695791,4.951325,684.4505875169999,406.9306606089
13063,367145192,6928044,3.6,0.51,297595,1.0,367.145192,6.928044,13.217226912000001,1.8724404792000002
56013,23785388834,212768588,20.5,1.87,39234,7.0,23785.388834,212.768588,4876.00471097,444.78677119580004
18115,223126824,3369528,29.8,13.53,5940,1.0,223.126824,3.369528,66.491793552,30.1890592872
13073,751598754,45345677,13.5,2.01,156010,2.0,751.598754,45.345677,101.46583179,15.107134955399998
08115,1419419015,3530746,76.4,57.3,2404,9.0,1419.419015,3.530746,1084.43612746,813.327095595
30065,4840577746,7118682,94.2,9.05,4730,8.0,4840.577746,7.118682,4559.824236732,438.07228601300005
42043,1359407361,86047350,26.0,19.69,286401,2.0,1359.407361,86.04735,353.44591386,267.66730938090006
46101,1345185721,3690537,65.0,54.64,6336,8.0,1345.185721,3.690537,874.3707186500001,735.0094779544
54079,895304726,12224530,29.2,6.97,57440,2.0,895.304726,12.22453,261.428979992,62.4027394022
34037,1342876714,43884322,21.6,10.56,144221,1.0,1342.876714,43.884322,290.06137022400003,141.8077809984
20039,2314199333,1631670,90.0,56.82,2764,9.0,2314.199333,1.63167,2082.7793997,1314.9280610106
18123,988702369,11837413,27.2,14.44,19170,7.0,988.702369,11.837413,268.927044368,142.76862208359998
28145,1076417818,3369003,48.6,25.54,27777,7.0,1076.417818,3.369003,523.139059548,274.9171107172
31015,1397106495,13211259,65.8,25.32,1810,9.0,1397.106495,13.211259,919.2960737099999,353.747364534
27095,1482264580,282932408,26.4,17.11,26459,1.0,1482.26458,282.932408,391.31784911999995,253.615469638
38099,3319346400,32181390,89.5,82.87,10563,8.0,3319.3464,32.18139,2970.815028,2750.74236168
39115,1078538282,13868572,35.0,13.08,13802,8.0,1078.538282,13.868572,377.48839869999995,141.0728072856
39133,1262380877,43125138,27.5,17.54,161791,2.0,1262.380877,43.125138,347.154741175,221.4216058258
56041,5391631764,16625817,55.2,4.52,20450,7.0,5391.631764,16.625817,2976.180733728,243.70175573279997
32013,24969535440,44194837,15.3,1.98,17285,7.0,24969.53544,44.194837,3820.33892232,494.396801712
48247,2942674729,92565,80.8,2.21,4838,8.0,2942.674729,0.092565,2377.681181032,65.0331115109
08017,4605713958,8166129,84.6,45.64,1748,9.0,4605.713958,8.166129,3896.4340084680002,2102.0478504312
41005,4845115802,31863504,13.2,6.83,421401,1.0,4845.115802,31.863504,639.555285864,330.9214092766
05113,2219200782,12520929,18.8,4.64,19221,7.0,2219.200782,12.520929,417.20974701599994,102.97091628479998
13193,1037709945,13841916,46.3,30.57,12082,8.0,1037.709945,13.841916,480.45970453499996,317.22793018650003
18007,1052616458,236033,87.0,80.63,8719,3.0,1052.616458,0.236033,915.7763184600001,848.7246500854
47129,1352439680,823018,18.2,5.19,21035,2.0,1352.43968,0.823018,246.14402176,70.191619392
46043,1118358780,4832944,70.3,58.49,2835,9.0,1118.35878,4.832944,786.20622234,654.128050422
24047,1213156432,586531107,34.7,25.06,52460,4.0,1213.156432,586.531107,420.965281904,304.0170018592
17185,578403995,10973569,82.8,78.19,11361,7.0,578.403995,10.973569,478.91850786000003,452.25408369049995
18069,991062907,13127494,89.7,84.01,36662,6.0,991.062907,13.127494,888.983427579,832.5919481707001
21209,730870979,8350617,63.6,26.53,57155,2.0,730.870979,8.350617,464.83394264400005,193.9000707287
19053,1377569408,4138626,68.0,41.49,7645,9.0,1377.569408,4.138626,936.74719744,571.5535473792
18169,1068471086,21851089,70.5,63.12,30976,6.0,1068.471086,21.851089,753.27211563,674.4189494832
18003,1702099441,7354509,78.4,72.26,385410,2.0,1702.099441,7.354509,1334.445961744,1229.9370560666002
18099,1148969985,15858580,70.8,64.19,46095,6.0,1148.969985,15.85858,813.4707493799999,737.5238333714999
31171,1845591359,2001976,94.8,1.75,669,9.0,1845.591359,2.001976,1749.620608332,32.2978487825
38085,2833580511,88449896,99.5,22.66,3898,9.0,2833.580511,88.449896,2819.4126084450004,642.0893437926001
48127,3441795903,14575999,40.5,4.89,8615,7.0,3441.795903,14.575999,1393.9273407150001,168.3038196567
27045,2230843181,2055817,85.3,68.43,21228,3.0,2230.843181,2.055817,1902.909233393,1526.5659887583004
45023,1503905790,14249301,30.9,7.3,32294,1.0,1503.90579,14.249301,464.70688910999996,109.78512267
27073,1981395023,33648338,83.9,76.34,6719,9.0,1981.395023,33.648338,1662.3904242970002,1512.5969605582002
49005,3016509352,21130753,36.2,15.19,133154,3.0,3016.509352,21.130753,1091.976385424,458.20777056879996
55093,1486700541,48452323,62.5,42.69,42212,1.0,1486.700541,48.452323,929.187838125,634.6724609528999
13049,2020415648,5963237,3.9,0.31,12518,8.0,2020.415648,5.963237,78.796210272,6.2632885088
13233,803775591,4664760,25.9,10.58,42853,4.0,803.775591,4.66476,208.17787806899997,85.03945752780001
17113,3064597288,7804856,78.9,76.06,170954,3.0,3064.597288,7.804856,2417.967260232,2330.9326972528
23001,1211995417,75541706,14.3,4.97,111139,3.0,1211.995417,75.541706,173.31534463100002,60.2361722249
16055,3205837533,184443858,13.6,7.03,171362,3.0,3205.837533,184.443858,435.993904488,225.3703785699
32003,20439308551,438384090,,0.07,2265461,1.0,20439.308551,438.38409,,14.3075159857
20147,2294395636,22493383,81.1,43.86,4981,9.0,2294.395636,22.493383,1860.754860796,1006.3219259496001
31089,6247711081,13572143,99.9,42.07,10127,9.0,6247.711081,13.572143,6241.463369919001,2628.4120517767
29101,2147776086,10180467,78.4,43.11,54013,4.0,2147.776086,10.180467,1683.856451424,925.9062706745999
55063,1170175855,73149624,47.8,26.83,120784,3.0,1170.175855,73.149624,559.34405869,313.9581818965
22021,1372098436,29104196,20.9,4.91,9645,8.0,1372.098436,29.104196,286.768573124,67.3700332076
21061,784263747,13462746,44.7,20.53,12126,3.0,784.263747,13.462746,350.565894909,161.0093472591
17005,985066648,6462629,66.4,54.67,16725,1.0,985.066648,6.462629,654.0842542720001,538.5359364616
17009,791828626,4144346,83.5,45.17,6244,9.0,791.828626,4.144346,661.17690271,357.6689903642
27085,1273004838,36432583,78.3,72.53,36771,4.0,1273.004838,36.432583,996.762788154,923.3104090014001
55033,2201902879,35572577,68.5,47.93,45440,6.0,2201.902879,35.572577,1508.3034721150002,1055.3720499047001
08027,1913031975,3364150,21.0,2.73,4704,8.0,1913.031975,3.36415,401.73671475000003,52.225772917499995
29123,1280453084,8323284,30.4,7.59,12626,9.0,1280.453084,8.323284,389.257737536,97.1863890756
48353,2362061742,5052159,69.1,18.36,14738,6.0,2362.061742,5.052159,1632.1846637219996,433.6745358312
42127,1879734050,64785675,19.5,8.52,51155,6.0,1879.73405,64.785675,366.54813974999996,160.15334106
36091,2097812305,87488004,14.2,8.65,235509,2.0,2097.812305,87.488004,297.88934730999995,181.46076438249997
48041,1518090934,13210254,74.1,7.03,233849,2.0,1518.090934,13.210254,1124.9053820939998,106.72179266020001
40095,962153980,143719930,76.2,11.16,15312,9.0,962.15398,143.71993,733.16133276,107.376384168
24001,1093489886,14710932,12.6,4.6,68106,4.0,1093.489886,14.710932,137.779725636,50.300534756
54103,927389119,8449879,15.2,2.85,14442,7.0,927.389119,8.449879,140.963146088,26.430589891500002
55053,2558687748,32538317,36.1,20.08,21145,8.0,2558.687748,32.538317,923.6862770280001,513.7844997983999
41007,2144781264,661720213,3.5,1.18,41072,4.0,2144.781264,661.720213,75.06734424,25.3084189152
53041,6223175362,86929744,7.7,3.45,82149,4.0,6223.175362,86.929744,479.18450287400003,214.69954998900002
36003,2666225086,12989848,17.7,9.15,46456,7.0,2666.225086,12.989848,471.92184022199996,243.95959536900003
19031,1500798732,6385833,98.8,91.06,18505,8.0,1500.798732,6.385833,1482.789147216,1366.6273253591999
18117,1031795760,25416478,37.4,23.27,19867,8.0,1031.79576,25.416478,385.89161423999997,240.09887335199997
13089,693176061,8858826,0.0,,764382,1.0,693.176061,8.858826,0.0,
13227,601031042,1690669,10.8,4.33,33216,1.0,601.031042,1.690669,64.91135253600001,26.024644118599998
30015,10288778621,62611691,92.8,58.29,5895,8.0,10288.778621,62.611691,9547.986560288,5997.3290581809
31017,3163421298,9689320,99.1,13.2,2903,9.0,3163.421298,9.68932,3134.9505063180004,417.571611336
47013,1243685307,46425147,10.0,3.75,39272,2.0,1243.685307,46.425147,124.3685307,46.638199012499996
37069,1273761680,7173998,34.3,14.84,68573,1.0,1273.76168,7.173998,436.90025624000003,189.02623331200002
20111,2194958230,20561826,86.5,45.14,32179,4.0,2194.95823,20.561826,1898.63886895,990.8041450220002
19027,1474877207,2145349,94.4,87.57,20760,7.0,1474.877207,2.145349,1392.284083408,1291.5499701699
22107,1561795836,99432220,58.7,49.81,4147,9.0,1561.795836,99.43222,916.774155732,777.9305059116
47123,1646647004,43545177,23.9,9.61,46250,6.0,1646.647004,43.545177,393.548633956,158.2427770844
20075,2580958328,2893322,99.9,76.76,2518,9.0,2580.958328,2.893322,2578.3773696720004,1981.1436125728003
19151,1495047211,3666528,85.6,82.69,7078,9.0,1495.047211,3.666528,1279.760412616,1236.2545387759
16045,1449796224,12491930,55.7,7.66,19123,2.0,1449.796224,12.49193,807.5364967680001,111.0543907584
05063,1978003738,20251226,61.0,18.05,37938,7.0,1978.003738,20.251226,1206.58228018,357.029674709
05085,1998045639,82719024,82.9,65.96,74015,2.0,1998.045639,82.719024,1656.379834731,1317.9109034843998
18111,1040539827,4349506,73.9,63.64,13830,1.0,1040.539827,4.349506,768.9589321530001,662.1995459028
13119,676873326,12752556,41.2,12.22,23424,8.0,676.873326,12.752556,278.87181031200004,82.71392043720002
12051,2993896404,86578552,79.3,39.28,39619,4.0,2993.896404,86.578552,2374.159848372,1176.0025074912
13265,504029143,1917633,9.4,1.62,1559,8.0,504.029143,1.917633,47.378739442,8.1652721166
48245,2270732117,611205479,62.0,21.76,256526,2.0,2270.732117,611.205479,1407.8539125399998,494.1113086592
30059,6194909925,7475979,57.5,5.82,1927,8.0,6194.909925,7.475979,3562.073206875,360.543757635
08067,4376255278,25642579,49.0,7.07,55638,6.0,4376.255278,25.642579,2144.3650862199997,309.4012481546
48027,2729408715,94385069,73.8,23.25,370647,2.0,2729.408715,94.385069,2014.30363167,634.5875262375
28069,1984403150,2182350,28.1,3.24,8988,9.0,1984.40315,2.18235,557.61728515,64.29466206000001
05019,2242855171,43965580,14.1,4.11,21446,7.0,2242.855171,43.96558,316.242579111,92.18134752810002
41035,15410373388,484953082,13.8,3.29,69413,5.0,15410.373388,484.953082,2126.631527544,507.0012844652
36075,2464636023,933469962,14.1,6.81,117525,2.0,2464.636023,933.469962,347.513679243,167.8417131663
01019,1433620850,120310807,46.1,23.77,24971,8.0,1433.62085,120.310807,660.89921185,340.771676045
48019,2048663887,17291422,37.8,1.58,20851,1.0,2048.663887,17.291422,774.394949286,32.368889414600005
30087,12971010183,44234227,89.7,6.13,8329,8.0,12971.010183,44.234227,11634.996134151,795.1229242179
35059,9906834380,15498790,78.7,2.35,4079,9.0,9906.83438,15.49879,7796.67865706,232.81060793
26153,3035145671,1844210517,1.7,0.55,8047,9.0,3035.145671,1844.210517,51.597476407,16.693301190500005
36111,2911757764,94596810,10.1,3.82,181851,3.0,2911.757764,94.59681,294.087534164,111.2291465848
34007,573324566,15689888,5.2,3.57,523485,1.0,573.324566,15.689888,29.812877432,20.4676870062
17083,957143527,20333974,68.2,54.27,21512,1.0,957.143527,20.333974,652.7718854139999,519.4417921029
51085,1211008825,12702538,30.7,19.65,109979,1.0,1211.008825,12.702538,371.77970927499996,237.96323411249995
20199,2366348285,140936,95.3,64.57,1512,9.0,2366.348285,0.140936,2255.129915605,1527.9510876245
26003,2369927690,10703517569,3.2,1.68,8842,9.0,2369.92769,10703.517569,75.83768608,39.814785192
05049,1600597353,6357861,63.6,8.44,12075,9.0,1600.597353,6.357861,1017.979916508,135.09041659320002
48215,4068758840,30739605,53.3,30.85,870781,2.0,4068.75884,30.739605,2168.64846172,1255.21210214
37155,2453481924,5076395,43.4,32.4,116530,4.0,2453.481924,5.076395,1064.811155016,794.9281433760001
26123,2172706359,59083043,22.2,15.43,49978,6.0,2172.706359,59.083043,482.340811698,335.24859119369995
41049,5259046091,44372730,81.0,38.4,12186,8.0,5259.046091,44.37273,4259.82733371,2019.473698944
27153,2447791805,89136470,53.1,33.12,25262,8.0,2447.791805,89.13647,1299.777448455,810.708645816
05083,1836602034,53970569,46.9,16.21,21131,8.0,1836.602034,53.970569,861.366353946,297.7131897114
37109,766239895,23350160,25.9,13.16,86810,1.0,766.239895,23.35016,198.456132805,100.83717018200001
05091,1616257228,36848741,40.4,23.24,42600,3.0,1616.257228,36.848741,652.9679201119999,375.6181797872
12095,2338564130,260321773,20.5,1.96,1429908,1.0,2338.56413,260.321773,479.40564665000005,45.835856948
08111,1003660672,2035929,0.0,0.0,705,9.0,1003.660672,2.035929,0.0,0.0
16041,1717211139,12153472,65.1,26.91,14194,3.0,1717.211139,12.153472,1117.904451489,462.1015175049
13045,1292752875,12024409,28.8,8.03,119148,1.0,1292.752875,12.024409,372.312828,103.80805586249998
20161,1579010807,32092080,53.7,23.22,71959,3.0,1579.010807,32.09208,847.9288033590002,366.6463093854
48413,3394546068,87401,99.7,6.88,2451,8.0,3394.546068,0.087401,3384.3624297960005,233.5447694784
51167,1226421378,7558481,58.3,11.21,25781,8.0,1226.421378,7.558481,715.003663374,137.4818364738
37027,1222184253,7052759,11.9,4.71,80652,2.0,1222.184253,7.052759,145.439926107,57.56487831629999
16065,1215396274,10500950,55.6,47.57,52913,4.0,1215.396274,10.50095,675.760328344,578.1640075418
18173,996739078,16078776,50.3,43.61,63898,2.0,996.739078,16.078776,501.3597562339999,434.6779119158
21001,1049702545,18391917,55.0,23.67,18903,7.0,1049.702545,18.391917,577.33639975,248.46459240150006
21077,254547580,16452438,42.8,18.29,8690,1.0,254.54758,16.452438,108.94636424000001,46.556752382000006
21097,793722604,8855951,83.8,34.71,18692,6.0,793.722604,8.855951,665.1395421520001,275.50111584840005
23023,657801805,300571247,10.9,3.11,36699,2.0,657.801805,300.571247,71.70039674499999,20.457636135499996
30097,4805816390,17455905,77.6,5.62,3678,8.0,4805.81639,17.455905,3729.3135186399995,270.086881118
48181,2416016688,120091746,66.2,30.95,135543,3.0,2416.016688,120.091746,1599.403047456,747.7571649360001
42059,1491658043,5296803,28.3,9.15,35954,6.0,1491.658043,5.296803,422.139226169,136.4867109345
20051,2330762300,1197085,99.6,57.28,28934,5.0,2330.7623,1.197085,2321.4392508,1335.06064544
01065,1667926667,32403804,36.3,7.1,14785,2.0,1667.926667,32.403804,605.4573801209999,118.42279335699999
01105,1863936201,10902207,32.1,12.39,8511,8.0,1863.936201,10.902207,598.323520521,230.94169530390002
01033,1535742270,79160396,37.7,15.27,57227,3.0,1535.74227,79.160396,578.97483579,234.507844629
20151,1903740948,1771939,98.6,84.49,9157,7.0,1903.740948,1.771939,1877.088574728,1608.4707269652
21017,750448654,4820688,99.1,37.25,20252,2.0,750.448654,4.820688,743.6946161139999,279.54212361500004
47149,1603892838,12406556,34.3,14.9,341486,1.0,1603.892838,12.406556,550.1352434339999,238.980032862
13075,591684404,12308449,53.5,33.76,17229,6.0,591.684404,12.308449,316.55115614,199.7526547904
20101,1858080220,551220,99.9,75.92,1574,9.0,1858.08022,0.55122,1856.2221397800001,1410.6545030240002
40059,2689919591,5259447,96.8,27.08,3272,9.0,2689.919591,5.259447,2603.8421640879997,728.4302252427999
17147,1137492088,754122,81.2,79.49,16673,3.0,1137.492088,0.754122,923.643575456,904.1924607512
48107,2331503444,3873557,100.0,52.32,5133,2.0,2331.503444,3.873557,2331.503444,1219.8426019008
01063,1675782054,33416150,26.0,5.67,7730,2.0,1675.782054,33.41615,435.70333403999996,95.01684246180001
16033,4566524477,2476453,18.3,6.63,790,8.0,4566.524477,2.476453,835.673979291,302.7605728251
19109,2519361810,4125592,93.9,90.19,14828,7.0,2519.36181,4.125592,2365.68073959,2272.2124164389998
38013,2858360401,65734594,87.4,60.78,2201,8.0,2858.360401,65.734594,2498.206990474,1737.3114517278
37063,744736824,26723652,8.8,3.85,324833,2.0,744.736824,26.723652,65.536840512,28.672367724
19085,1804896268,12325506,83.9,73.85,14582,2.0,1804.896268,12.325506,1514.3079688520002,1332.915893918
31103,2002257963,2192527,69.4,21.95,769,9.0,2002.257963,2.192527,1389.567026322,439.4956228785
19187,1853665899,7269394,77.7,73.16,36999,5.0,1853.665899,7.269394,1440.298403523,1356.1419717084
17151,955362036,14662240,32.8,17.8,3763,8.0,955.362036,14.66224,313.358747808,170.054442408
47159,814020543,28690306,62.7,22.01,19904,1.0,814.020543,28.690306,510.390880461,179.16592151429998
51089,990284625,5269785,17.8,5.21,50948,4.0,990.284625,5.269785,176.27066324999998,51.5938289625
19101,1128002432,3522238,75.9,60.26,15663,7.0,1128.002432,3.522238,856.1538458880001,679.7342655232001
30049,8957164726,101496096,45.0,4.14,70973,3.0,8957.164726,101.496096,4030.7241267000004,370.8266196564
49013,8379965573,38811228,51.0,3.17,19596,7.0,8379.965573,38.811228,4273.78244223,265.64490866409994
40003,2244392664,38546676,88.6,55.74,5699,8.0,2244.392664,38.546676,1988.5319003039997,1251.0244709136
48119,665192724,54647564,66.2,40.68,5230,8.0,665.192724,54.647564,440.357583288,270.6004001232
47169,296143586,5960709,53.9,19.69,11615,1.0,296.143586,5.960709,159.621392854,58.310672083400014
21193,879880331,7473919,6.2,1.04,28473,7.0,879.880331,7.473919,54.552580522,9.1507554424
46039,1612885711,35935421,63.5,46.06,4295,9.0,1612.885711,35.935421,1024.182426485,742.8951584865999
41029,7208589510,46774848,11.4,2.5,223259,3.0,7208.58951,46.774848,821.77920414,180.21473774999998
